TOPIC,SUBTOPIC,TAXONOMY,CLASSIFICATION,GROUP,GROUP_ID,SUBGROUP,SUBGROUP_ID,NESTING_LABEL,TIME_PERIOD,ESTIMATE,ESTIMATE_LCI,ESTIMATE_UCI
Angina/angina pectoris,,Cardiovascular diseases,Total,Total,1,18 years and older,1,,2019,1.7,1.5,1.9
Angina/angina pectoris,,Cardiovascular diseases,Total,Total,1,18 years and older,1,,2020,1.5,1.3,1.6
Angina/angina pectoris,,Cardiovascular diseases,Total,Total,1,18 years and older,1,,2021,1.5,1.4,1.7
Angina/angina pectoris,,Cardiovascular diseases,Total,Total,1,18 years and older,1,,2022,1.6,1.5,1.8
Angina/angina pectoris,,Cardiovascular diseases,Total,Total,1,18 years and older,1,,2023,1.6,1.4,1.8
Angina/angina pectoris,,Cardiovascular diseases,Total,Total,1,18 years and older,1,,2024,1.6,1.4,1.8
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Age groups with 65 years and older,2,18-34 years,2,,2019,0.2,0.1,0.4
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Age groups with 65 years and older,2,18-34 years,2,,2020,0.3,0.1,0.6
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Age groups with 65 years and older,2,18-34 years,2,,2021,0.4,0.2,0.6
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Age groups with 65 years and older,2,18-34 years,2,,2022,0.2,0.1,0.4
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Age groups with 65 years and older,2,18-34 years,2,,2023,0.3,0.1,0.4
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Age groups with 65 years and older,2,18-34 years,2,,2024,0.3,0.2,0.5
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Age groups with 65 years and older,2,35-49 years,3,,2019,0.9,0.6,1.3
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Age groups with 65 years and older,2,35-49 years,3,,2020,0.5,0.3,0.7
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Age groups with 65 years and older,2,35-49 years,3,,2021,0.6,0.4,0.9
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Age groups with 65 years and older,2,35-49 years,3,,2022,0.7,0.5,1.0
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Age groups with 65 years and older,2,35-49 years,3,,2023,0.8,0.6,1.1
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Age groups with 65 years and older,2,35-49 years,3,,2024,0.7,0.5,0.9
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Age groups with 65 years and older,2,50-64 years,4,,2019,1.9,1.6,2.3
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Age groups with 65 years and older,2,50-64 years,4,,2020,1.7,1.4,2.0
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Age groups with 65 years and older,2,50-64 years,4,,2021,1.8,1.5,2.1
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Age groups with 65 years and older,2,50-64 years,4,,2022,1.7,1.3,2.0
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Age groups with 65 years and older,2,50-64 years,4,,2023,2.0,1.7,2.5
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Age groups with 65 years and older,2,50-64 years,4,,2024,1.7,1.4,2.1
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Age groups with 65 years and older,2,65 years and older,5,,2019,4.4,3.9,4.9
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Age groups with 65 years and older,2,65 years and older,5,,2020,3.9,3.5,4.4
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Age groups with 65 years and older,2,65 years and older,5,,2021,3.7,3.2,4.2
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Age groups with 65 years and older,2,65 years and older,5,,2022,4.5,4.0,5.1
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Age groups with 65 years and older,2,65 years and older,5,,2023,3.8,3.3,4.2
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Age groups with 65 years and older,2,65 years and older,5,,2024,4.1,3.6,4.6
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Age groups with 75 years and older,3,18-44 years,6,,2019,0.5,0.3,0.6
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Age groups with 75 years and older,3,18-44 years,6,,2020,0.3,0.2,0.5
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Age groups with 75 years and older,3,18-44 years,6,,2021,0.4,0.3,0.5
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Age groups with 75 years and older,3,18-44 years,6,,2022,0.4,0.2,0.5
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Age groups with 75 years and older,3,18-44 years,6,,2023,0.4,0.3,0.6
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Age groups with 75 years and older,3,18-44 years,6,,2024,0.4,0.3,0.6
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Age groups with 75 years and older,3,45-64 years,7,,2019,1.7,1.4,2.0
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Age groups with 75 years and older,3,45-64 years,7,,2020,1.5,1.2,1.7
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Age groups with 75 years and older,3,45-64 years,7,,2021,1.6,1.4,2.0
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Age groups with 75 years and older,3,45-64 years,7,,2022,1.5,1.2,1.8
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Age groups with 75 years and older,3,45-64 years,7,,2023,1.8,1.5,2.2
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Age groups with 75 years and older,3,45-64 years,7,,2024,1.5,1.2,1.8
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Age groups with 75 years and older,3,65-74 years,8,,2019,3.4,2.9,4.0
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Age groups with 75 years and older,3,65-74 years,8,,2020,3.1,2.6,3.6
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Age groups with 75 years and older,3,65-74 years,8,,2021,2.9,2.4,3.5
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Age groups with 75 years and older,3,65-74 years,8,,2022,4.3,3.5,5.1
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Age groups with 75 years and older,3,65-74 years,8,,2023,3.2,2.7,3.8
Angina/angina pectoris,,Cardiovascular diseases,Demographic Characteristic,Age groups with 75 years and older,3,65-74 years,8,,2024,3.2,2.7,3.8
